pressure|10,443,10.0.0.18,1651548255.1588016,None,0,10.0.0.51,1651548260.1176274,4.9588258266448975
pressure|10,230,10.0.0.18,1651548255.5645757,None,0,10.0.0.51,1651548260.1178746,4.5532989501953125
pressure|10,283,10.0.0.18,1651548256.77269,None,0,10.0.0.51,1651548260.1179411,3.3452510833740234
pressure|10,366,10.0.0.18,1651548257.1742997,None,0,10.0.0.51,1651548260.1179924,2.943692684173584
pressure|10,335,10.0.0.18,1651548257.9864607,None,0,10.0.0.51,1651548260.11804,2.1315793991088867
pressure|10,423,10.0.0.18,1651548258.388744,None,0,10.0.0.51,1651548260.1180925,1.7293484210968018
pressure|10,191,10.0.0.18,1651548258.690393,None,0,10.0.0.51,1651548260.1182232,1.4278302192687988
pressure|10,232,10.0.0.18,1651548258.8921924,None,0,10.0.0.51,1651548260.118304,1.226111650466919
pressure|10,473,10.0.0.18,1651548259.0934033,None,0,10.0.0.51,1651548260.1183538,1.0249505043029785
pressure|10,315,10.0.0.18,1651548259.59724,None,0,10.0.0.51,1651548260.1183994,0.5211594104766846
sound|10,36,10.0.0.11,1651548257.174137,None,0,10.0.0.60,1651548265.4534209,8.27928376197815
sound|10,434,10.0.0.11,1651548258.5901852,None,0,10.0.0.60,1651548265.453738,6.863552808761597
sound|10,45,10.0.0.11,1651548258.79202,None,0,10.0.0.60,1651548265.453885,6.661864995956421
sound|10,347,10.0.0.11,1651548259.4949822,None,0,10.0.0.60,1651548265.4539526,5.958970308303833
sound|10,141,10.0.0.11,1651548259.595301,None,0,10.0.0.60,1651548265.4540124,5.85871148109436
sound|10,115,10.0.0.11,1651548260.098213,None,0,10.0.0.60,1651548265.4540687,5.355855703353882
sound|10,103,10.0.0.11,1651548260.9086852,None,0,10.0.0.60,1651548265.4541223,4.5454370975494385
sound|10,71,10.0.0.11,1651548262.3172395,None,0,10.0.0.60,1651548265.454175,3.1369354724884033
sound|10,362,10.0.0.11,1651548262.4176223,None,0,10.0.0.60,1651548265.4542267,3.036604404449463
sound|10,287,10.0.0.11,1651548265.3392475,None,0,10.0.0.60,1651548265.45428,0.11503243446350098
sound|10,252,10.0.0.11,1651548266.7519844,None,0,10.0.0.60,1651548266.7728784,0.02089405059814453
weather|20,496,10.0.0.12,1651548262.8252485,None,0,10.0.0.58,1651548267.2739189,4.448670387268066
weather|20,78,10.0.0.12,1651548263.0266964,None,0,10.0.0.58,1651548267.2743235,4.247627019882202
weather|20,486,10.0.0.12,1651548263.4302263,None,0,10.0.0.58,1651548267.2744164,3.8441901206970215
weather|20,169,10.0.0.12,1651548264.2327883,None,0,10.0.0.58,1651548267.2745419,3.0417535305023193
weather|20,1,10.0.0.12,1651548264.5342753,None,0,10.0.0.58,1651548267.2746847,2.7404093742370605
weather|20,235,10.0.0.12,1651548265.3389077,None,0,10.0.0.58,1651548267.2747605,1.9358527660369873
weather|20,44,10.0.0.12,1651548266.0486724,None,0,10.0.0.58,1651548267.2748306,1.2261581420898438
weather|20,277,10.0.0.12,1651548266.2492833,None,0,10.0.0.58,1651548267.2748988,1.0256154537200928
weather|20,466,10.0.0.12,1651548266.4499297,None,0,10.0.0.58,1651548267.2749667,0.8250370025634766
weather|20,480,10.0.0.12,1651548266.550535,None,0,10.0.0.58,1651548267.2750359,0.7245008945465088
sound|10,172,10.0.0.11,1651548268.0607336,None,0,10.0.0.60,1651548268.0814154,0.02068185806274414
sound|10,411,10.0.0.11,1651548268.264087,None,0,10.0.0.60,1651548268.2856653,0.021578311920166016
sound|10,22,10.0.0.11,1651548268.3718848,None,0,10.0.0.60,1651548268.3943262,0.022441387176513672
sound|10,215,10.0.0.11,1651548269.076875,None,0,10.0.0.60,1651548269.0990858,0.02221083641052246
airquality|20,401,10.0.0.11,1651548260.1984313,None,0,10.0.0.50,1651548269.212558,9.014126777648926
airquality|20,44,10.0.0.11,1651548260.80636,None,0,10.0.0.50,1651548269.212789,8.406429052352905
airquality|20,260,10.0.0.11,1651548262.2168033,None,0,10.0.0.50,1651548269.2128463,6.996042966842651
airquality|20,82,10.0.0.11,1651548262.8228605,None,0,10.0.0.50,1651548269.2128928,6.3900322914123535
