location,331,10.0.0.2,1644557217.4716718,0,10.0.0.95,1644557217.4943767
location,177,10.0.0.2,1644557217.4720063,0,10.0.0.95,1644557217.4948752
location,148,10.0.0.2,1644557217.4721222,0,10.0.0.95,1644557217.4951308
weather,13,10.0.0.2,1644557217.4725955,0,10.0.0.95,1644557217.495351
weather,104,10.0.0.2,1644557217.4727666,0,10.0.0.95,1644557217.4955094
location,331,10.0.0.2,1644557217.4716718,0,10.0.0.92,1644557217.4959297
humidity,323,10.0.0.2,1644557217.4719238,0,10.0.0.92,1644557217.496336
location,177,10.0.0.2,1644557217.4720063,0,10.0.0.92,1644557217.4965112
humidity,323,10.0.0.2,1644557217.4719238,0,10.0.0.93,1644557217.496509
humidity,175,10.0.0.2,1644557217.4720438,0,10.0.0.92,1644557217.4966576
location,148,10.0.0.2,1644557217.4721222,0,10.0.0.92,1644557217.4968398
sound,274,10.0.0.2,1644557217.4719677,0,10.0.0.93,1644557217.4969385
humidity,78,10.0.0.2,1644557217.472329,0,10.0.0.92,1644557217.4970253
humidity,175,10.0.0.2,1644557217.4720438,0,10.0.0.93,1644557217.497112
temperature,60,10.0.0.2,1644557217.4725618,0,10.0.0.92,1644557217.4971714
airquality,263,10.0.0.2,1644557217.4726627,0,10.0.0.92,1644557217.4973655
sound,494,10.0.0.2,1644557217.4721942,0,10.0.0.93,1644557217.497431
airquality,455,10.0.0.2,1644557217.4727337,0,10.0.0.92,1644557217.4975646
humidity,78,10.0.0.2,1644557217.472329,0,10.0.0.93,1644557217.497695
temperature,81,10.0.0.2,1644557217.4728384,0,10.0.0.92,1644557217.497708
sound,272,10.0.0.2,1644557217.472528,0,10.0.0.93,1644557217.4978356
airquality,464,10.0.0.2,1644557217.4730093,0,10.0.0.92,1644557217.497845
weather,13,10.0.0.2,1644557217.4725955,0,10.0.0.93,1644557217.4979703
temperature,141,10.0.0.2,1644557217.473043,0,10.0.0.92,1644557217.497983
sound,162,10.0.0.2,1644557217.4726298,0,10.0.0.93,1644557217.4981022
temperature,67,10.0.0.2,1644557217.4731688,0,10.0.0.92,1644557217.4981172
weather,104,10.0.0.2,1644557217.4727666,0,10.0.0.93,1644557217.4982324
sound,142,10.0.0.2,1644557217.473089,0,10.0.0.93,1644557217.498362
location,331,10.0.0.2,1644557217.4716718,0,10.0.0.99,1644557217.4984102
humidity,323,10.0.0.2,1644557217.4719238,0,10.0.0.99,1644557217.4987216
location,177,10.0.0.2,1644557217.4720063,0,10.0.0.99,1644557217.4988828
humidity,175,10.0.0.2,1644557217.4720438,0,10.0.0.99,1644557217.4990246
weather,497,10.0.0.2,1644557217.473301,0,10.0.0.93,1644557217.4990547
location,148,10.0.0.2,1644557217.4721222,0,10.0.0.99,1644557217.4991634
altitude,159,10.0.0.2,1644557217.4722276,0,10.0.0.99,1644557217.4993
weather,367,10.0.0.2,1644557217.4733477,0,10.0.0.93,1644557217.499325
location,331,10.0.0.2,1644557217.4716718,0,10.0.0.97,1644557217.4997327
location,331,10.0.0.2,1644557217.4716718,0,10.0.0.98,1644557217.4997563
pressure,134,10.0.0.2,1644557217.4718714,0,10.0.0.97,1644557217.5000024
pressure,134,10.0.0.2,1644557217.4718714,0,10.0.0.98,1644557217.5000575
humidity,323,10.0.0.2,1644557217.4719238,0,10.0.0.97,1644557217.5001597
humidity,323,10.0.0.2,1644557217.4719238,0,10.0.0.98,1644557217.500219
sound,274,10.0.0.2,1644557217.4719677,0,10.0.0.97,1644557217.5003068
location,177,10.0.0.2,1644557217.4720063,0,10.0.0.98,1644557217.5003722
location,177,10.0.0.2,1644557217.4720063,0,10.0.0.97,1644557217.5004556
humidity,175,10.0.0.2,1644557217.4720438,0,10.0.0.98,1644557217.5005198
humidity,175,10.0.0.2,1644557217.4720438,0,10.0.0.97,1644557217.5006018
pressure,298,10.0.0.2,1644557217.472081,0,10.0.0.98,1644557217.500706
pressure,298,10.0.0.2,1644557217.472081,0,10.0.0.97,1644557217.5007498
location,148,10.0.0.2,1644557217.4721222,0,10.0.0.98,1644557217.5008628
location,148,10.0.0.2,1644557217.4721222,0,10.0.0.97,1644557217.5008993
light,85,10.0.0.2,1644557217.4721599,0,10.0.0.97,1644557217.5010962
light,85,10.0.0.2,1644557217.4721599,0,10.0.0.98,1644557217.5011487
sound,494,10.0.0.2,1644557217.4721942,0,10.0.0.97,1644557217.501244
altitude,159,10.0.0.2,1644557217.4722276,0,10.0.0.98,1644557217.5013125
altitude,159,10.0.0.2,1644557217.4722276,0,10.0.0.97,1644557217.501388
pressure,491,10.0.0.2,1644557217.4722617,0,10.0.0.98,1644557217.5014596
pressure,491,10.0.0.2,1644557217.4722617,0,10.0.0.97,1644557217.50156
pressure,438,10.0.0.2,1644557217.4722953,0,10.0.0.97,1644557217.5017192
pressure,438,10.0.0.2,1644557217.4722953,0,10.0.0.98,1644557217.5017242
humidity,78,10.0.0.2,1644557217.472329,0,10.0.0.98,1644557217.5018854
humidity,78,10.0.0.2,1644557217.472329,0,10.0.0.97,1644557217.5018635
altitude,51,10.0.0.2,1644557217.4723628,0,10.0.0.98,1644557217.5020363
altitude,51,10.0.0.2,1644557217.4723628,0,10.0.0.97,1644557217.5020719
light,117,10.0.0.2,1644557217.4724455,0,10.0.0.98,1644557217.5022206
light,117,10.0.0.2,1644557217.4724455,0,10.0.0.97,1644557217.5022726
pressure,68,10.0.0.2,1644557217.4724903,0,10.0.0.98,1644557217.502422
pressure,68,10.0.0.2,1644557217.4724903,0,10.0.0.97,1644557217.5024688
