light|20,329,10.0.0.15,1651547966.8320224,10.0.0.6,1651547970.1898594,10.0.0.62,1651547970.2115448,3.3795223236083984
light|20,156,10.0.0.15,1651547967.0334384,10.0.0.6,1651547970.1898599,10.0.0.62,1651547970.211811,3.178372621536255
light|20,491,10.0.0.15,1651547967.1337152,10.0.0.6,1651547970.18986,10.0.0.62,1651547970.2118719,3.0781567096710205
light|20,275,10.0.0.15,1651547967.3343952,10.0.0.6,1651547970.1898603,10.0.0.62,1651547970.2119193,2.8775241374969482
light|20,249,10.0.0.15,1651547967.4346395,10.0.0.6,1651547970.1898606,10.0.0.62,1651547970.2119641,2.777324676513672
light|20,186,10.0.0.15,1651547968.037516,10.0.0.6,1651547970.1898606,10.0.0.62,1651547970.2120066,2.174490451812744
light|20,83,10.0.0.15,1651547968.1378243,10.0.0.6,1651547970.1898608,10.0.0.62,1651547970.212048,2.074223756790161
light|20,34,10.0.0.15,1651547968.9401758,10.0.0.6,1651547970.189861,10.0.0.62,1651547970.2120898,1.271914005279541
light|20,59,10.0.0.15,1651547969.7437832,10.0.0.6,1651547970.1898613,10.0.0.62,1651547970.2121608,0.46837759017944336
light|20,84,10.0.0.15,1651547970.1454785,10.0.0.6,1651547970.1898613,10.0.0.62,1651547970.2122076,0.06672906875610352
humidity|10,424,10.0.0.11,1651547945.4595275,10.0.0.6,1651547970.5590003,10.0.0.62,1651547970.5811694,25.121641874313354
humidity|10,47,10.0.0.11,1651547949.795795,10.0.0.6,1651547970.5590007,10.0.0.62,1651547970.5812862,20.785491228103638
humidity|10,175,10.0.0.11,1651547951.909606,10.0.0.6,1651547970.559001,10.0.0.62,1651547970.581346,18.67174005508423
humidity|10,169,10.0.0.11,1651547953.1153991,10.0.0.6,1651547970.5590014,10.0.0.62,1651547970.581393,17.465993881225586
humidity|10,192,10.0.0.11,1651547956.028269,10.0.0.6,1651547970.5590014,10.0.0.62,1651547970.581435,14.553165912628174
humidity|10,203,10.0.0.11,1651547956.4304614,10.0.0.6,1651547970.5590017,10.0.0.62,1651547970.5814762,14.151014804840088
humidity|10,291,10.0.0.11,1651547957.6405053,10.0.0.6,1651547970.559002,10.0.0.62,1651547970.581517,12.941011667251587
humidity|10,478,10.0.0.11,1651547959.555589,10.0.0.6,1651547970.5590022,10.0.0.62,1651547970.5815575,11.025968551635742
humidity|10,12,10.0.0.11,1651547960.5635676,10.0.0.6,1651547970.5590024,10.0.0.62,1651547970.5815973,10.018029689788818
humidity|10,123,10.0.0.11,1651547961.267531,10.0.0.6,1651547970.5590024,10.0.0.62,1651547970.5816376,9.314106702804565
humidity|10,493,10.0.0.11,1651547964.1877263,10.0.0.6,1651547970.5590026,10.0.0.62,1651547970.5816772,6.393950939178467
humidity|10,296,10.0.0.11,1651547964.3894153,10.0.0.6,1651547970.5590029,10.0.0.62,1651547970.581717,6.1923017501831055
humidity|10,168,10.0.0.11,1651547965.3963158,10.0.0.6,1651547970.559003,10.0.0.62,1651547970.5817566,5.1854407787323
humidity|10,329,10.0.0.11,1651547967.0064998,10.0.0.6,1651547970.559003,10.0.0.62,1651547970.5817957,3.575295925140381
humidity|10,104,10.0.0.11,1651547967.4088602,10.0.0.6,1651547970.5590034,10.0.0.62,1651547970.581836,3.172975778579712
humidity|10,285,10.0.0.11,1651547968.6126466,10.0.0.6,1651547970.5590036,10.0.0.62,1651547970.5818756,1.969228982925415
humidity|10,319,10.0.0.11,1651547969.3178265,10.0.0.6,1651547970.5590038,10.0.0.62,1651547970.5819159,1.2640893459320068
altitude|10,140,10.0.0.11,1651547948.587191,10.0.0.6,1651547970.916678,10.0.0.62,1651547970.942515,22.355323791503906
altitude|10,454,10.0.0.11,1651547948.6875467,10.0.0.6,1651547970.9166784,10.0.0.62,1651547970.9426763,22.25512957572937
altitude|10,25,10.0.0.11,1651547948.788841,10.0.0.6,1651547970.9166787,10.0.0.62,1651547970.9427335,22.153892517089844
altitude|10,123,10.0.0.11,1651547952.3116298,10.0.0.6,1651547970.916679,10.0.0.62,1651547970.9427927,18.631162881851196
altitude|10,156,10.0.0.11,1651547955.928032,10.0.0.6,1651547970.916679,10.0.0.62,1651547970.9428384,15.014806509017944
altitude|10,72,10.0.0.11,1651547956.7320542,10.0.0.6,1651547970.9166791,10.0.0.62,1651547970.942882,14.210827827453613
altitude|10,352,10.0.0.11,1651547956.8323326,10.0.0.6,1651547970.9166794,10.0.0.62,1651547970.9429243,14.110591650009155
altitude|10,134,10.0.0.11,1651547958.344421,10.0.0.6,1651547970.9166796,10.0.0.62,1651547970.9429662,12.59854531288147
altitude|10,223,10.0.0.11,1651547961.3678052,10.0.0.6,1651547970.9166796,10.0.0.62,1651547970.943013,9.575207710266113
altitude|10,433,10.0.0.11,1651547962.0732071,10.0.0.6,1651547970.9166799,10.0.0.62,1651547970.943059,8.86985182762146
altitude|10,324,10.0.0.11,1651547962.579398,10.0.0.6,1651547970.91668,10.0.0.62,1651547970.9431005,8.363702535629272
altitude|10,37,10.0.0.11,1651547962.8802452,10.0.0.6,1651547970.91668,10.0.0.62,1651547970.9431531,8.062907934188843
altitude|10,129,10.0.0.11,1651547963.1817074,10.0.0.6,1651547970.9166803,10.0.0.62,1651547970.9431925,7.7614850997924805
altitude|10,453,10.0.0.11,1651547964.692254,10.0.0.6,1651547970.9166808,10.0.0.62,1651547970.9432313,6.250977277755737
altitude|10,208,10.0.0.11,1651547964.8928947,10.0.0.6,1651547970.9166808,10.0.0.62,1651547970.9432697,6.050374984741211
