temperature,112,10.0.0.18,1649751083.8949351,1649751083.8951762,10.0.0.20,1649751083.8953815
humidity,459,10.0.0.13,1649751083.9265227,1649751083.9268389,10.0.0.20,1649751083.9270144
pressure,6,10.0.0.14,1649751083.9551365,1649751083.9554617,10.0.0.20,1649751083.9556983
weather,66,10.0.0.17,1649751083.9859464,1649751083.986201,10.0.0.20,1649751083.9863846
temperature,366,10.0.0.16,1649751083.9863954,1649751083.9865754,10.0.0.20,1649751083.9867322
temperature,148,10.0.0.18,1649751083.9951758,1649751083.9953725,10.0.0.20,1649751083.9954948
location,282,10.0.0.14,1649751084.0554152,1649751084.0556676,10.0.0.20,1649751084.0558388
humidity,298,10.0.0.17,1649751084.0862076,1649751084.0864818,10.0.0.20,1649751084.0866826
pressure,436,10.0.0.16,1649751084.0866792,1649751084.0868511,10.0.0.20,1649751084.0870361
pressure,275,10.0.0.18,1649751084.0954225,1649751084.0956106,10.0.0.20,1649751084.0957391
weather,170,10.0.0.14,1649751084.155684,1649751084.1559675,10.0.0.20,1649751084.1561837
weather,170,10.0.0.14,1649751084.155684,1649751084.1559675,10.0.0.22,1649751084.1564007
temperature,274,10.0.0.17,1649751084.189476,1649751084.1899378,10.0.0.20,1649751084.1902893
temperature,274,10.0.0.17,1649751084.189476,1649751084.1899378,10.0.0.22,1649751084.190484
pressure,142,10.0.0.16,1649751084.1896033,1649751084.190291,10.0.0.22,1649751084.190587
pressure,142,10.0.0.16,1649751084.1896033,1649751084.190291,10.0.0.20,1649751084.1906855
weather,23,10.0.0.18,1649751084.1956599,1649751084.195846,10.0.0.22,1649751084.1959958
weather,23,10.0.0.18,1649751084.1956599,1649751084.195846,10.0.0.20,1649751084.196093
temperature,215,10.0.0.13,1649751084.2280223,1649751084.2282877,10.0.0.22,1649751084.22851
temperature,215,10.0.0.13,1649751084.2280223,1649751084.2282877,10.0.0.20,1649751084.228683
weather,115,10.0.0.14,1649751084.2559743,1649751084.25632,10.0.0.22,1649751084.256566
weather,115,10.0.0.14,1649751084.2559743,1649751084.25632,10.0.0.20,1649751084.2567267
airquality,159,10.0.0.12,1649751084.289758,1649751084.290121,10.0.0.22,1649751084.2903402
location,446,10.0.0.18,1649751084.2959275,1649751084.2961352,10.0.0.20,1649751084.296333
temperature,482,10.0.0.13,1649751084.3283274,1649751084.3286076,10.0.0.20,1649751084.328828
temperature,482,10.0.0.13,1649751084.3283274,1649751084.3286076,10.0.0.22,1649751084.3289993
airquality,442,10.0.0.14,1649751084.3564446,1649751084.3567514,10.0.0.22,1649751084.3569643
sound,359,10.0.0.17,1649751084.390337,1649751084.3907707,10.0.0.20,1649751084.390937
light,24,10.0.0.18,1649751084.3973954,1649751084.3977659,10.0.0.22,1649751084.397992
light,24,10.0.0.18,1649751084.3973954,1649751084.3977659,10.0.0.20,1649751084.398275
humidity,396,10.0.0.13,1649751084.4286015,1649751084.42888,10.0.0.20,1649751084.4290628
light,333,10.0.0.14,1649751084.4567087,1649751084.4569592,10.0.0.20,1649751084.4571688
light,333,10.0.0.14,1649751084.4567087,1649751084.4569592,10.0.0.22,1649751084.457367
humidity,134,10.0.0.17,1649751084.4919522,1649751084.4923656,10.0.0.20,1649751084.4926069
airquality,99,10.0.0.16,1649751084.4920752,1649751084.4927137,10.0.0.22,1649751084.4929311
altitude,35,10.0.0.12,1649751084.4919612,1649751084.4924238,10.0.0.23,1649751084.492922
airquality,99,10.0.0.16,1649751084.4920752,1649751084.4927137,10.0.0.21,1649751084.4931567
temperature,268,10.0.0.18,1649751084.497664,1649751084.4979296,10.0.0.22,1649751084.5001156
temperature,268,10.0.0.18,1649751084.497664,1649751084.4979296,10.0.0.20,1649751084.5002918
temperature,371,10.0.0.13,1649751084.5288577,1649751084.5291696,10.0.0.20,1649751084.5293882
temperature,371,10.0.0.13,1649751084.5288577,1649751084.5291696,10.0.0.22,1649751084.5295665
altitude,123,10.0.0.14,1649751084.556984,1649751084.5572393,10.0.0.23,1649751084.5574455
sound,378,10.0.0.17,1649751084.5922353,1649751084.5927176,10.0.0.20,1649751084.5930567
sound,378,10.0.0.17,1649751084.5922353,1649751084.5927176,10.0.0.24,1649751084.593086
altitude,143,10.0.0.12,1649751084.5922348,1649751084.5927982,10.0.0.23,1649751084.5933042
altitude,87,10.0.0.16,1649751084.5923712,1649751084.5929585,10.0.0.23,1649751084.5935295
smell,196,10.0.0.18,1649751084.5979168,1649751084.5981581,10.0.0.22,1649751084.5984886
smell,196,10.0.0.18,1649751084.5979168,1649751084.5981581,10.0.0.21,1649751084.598496
smell,196,10.0.0.18,1649751084.5979168,1649751084.5981581,10.0.0.23,1649751084.5986412
smell,196,10.0.0.18,1649751084.5979168,1649751084.5981581,10.0.0.24,1649751084.598766
altitude,178,10.0.0.13,1649751084.629201,1649751084.629518,10.0.0.23,1649751084.629715
humidity,394,10.0.0.14,1649751084.6572492,1649751084.6575248,10.0.0.20,1649751084.6577275
humidity,394,10.0.0.14,1649751084.6572492,1649751084.6575248,10.0.0.24,1649751084.6577482
altitude,361,10.0.0.12,1649751084.6925988,1649751084.6935246,10.0.0.23,1649751084.6937869
smell,230,10.0.0.16,1649751084.6933675,1649751084.694043,10.0.0.21,1649751084.6943002
smell,230,10.0.0.16,1649751084.6933675,1649751084.694043,10.0.0.22,1649751084.694321
smell,230,10.0.0.16,1649751084.6933675,1649751084.694043,10.0.0.24,1649751084.6944451
altitude,98,10.0.0.17,1649751084.693668,1649751084.6939979,10.0.0.23,1649751084.6945646
