location,142,10.0.0.13,1649749261.9971159,0,10.0.0.20,1649749261.997436
location,142,10.0.0.13,1649749261.9971159,0,10.0.0.16,1649749261.9977596
altitude,86,10.0.0.13,1649749262.09767,0,10.0.0.16,1649749262.0985615
altitude,86,10.0.0.13,1649749262.09767,0,10.0.0.18,1649749262.100356
light,395,10.0.0.13,1649749262.1982162,0,10.0.0.20,1649749262.198734
light,395,10.0.0.13,1649749262.1982162,0,10.0.0.16,1649749262.1990147
pressure,117,10.0.0.13,1649749262.2986655,0,10.0.0.20,1649749262.299009
pressure,117,10.0.0.13,1649749262.2986655,0,10.0.0.16,1649749262.2992067
pressure,117,10.0.0.13,1649749262.2986655,0,10.0.0.18,1649749262.299484
pressure,272,10.0.0.13,1649749262.4023097,0,10.0.0.20,1649749262.4026396
pressure,272,10.0.0.13,1649749262.4023097,0,10.0.0.16,1649749262.4028869
pressure,272,10.0.0.13,1649749262.4023097,0,10.0.0.18,1649749262.4262965
light,138,10.0.0.13,1649749262.5063057,0,10.0.0.20,1649749262.5066607
light,138,10.0.0.13,1649749262.5063057,0,10.0.0.16,1649749262.5068426
pressure,24,10.0.0.13,1649749262.6142464,0,10.0.0.20,1649749262.614741
pressure,24,10.0.0.13,1649749262.6142464,0,10.0.0.16,1649749262.6150026
pressure,24,10.0.0.13,1649749262.6142464,0,10.0.0.18,1649749262.618352
sound,114,10.0.0.10,1649749262.6979263,0,10.0.0.20,1649749262.7020874
pressure,359,10.0.0.13,1649749262.7223523,0,10.0.0.16,1649749262.7228093
pressure,359,10.0.0.13,1649749262.7223523,0,10.0.0.20,1649749262.723226
pressure,359,10.0.0.13,1649749262.7223523,0,10.0.0.18,1649749262.735953
sound,114,10.0.0.10,1649749262.6979263,0,10.0.0.16,1649749262.73671
humidity,413,10.0.0.12,1649749262.7552476,0,10.0.0.16,1649749262.7555876
temperature,6,10.0.0.10,1649749262.799598,0,10.0.0.20,1649749262.7999358
temperature,6,10.0.0.10,1649749262.799598,0,10.0.0.16,1649749262.8001258
pressure,429,10.0.0.13,1649749262.822805,0,10.0.0.18,1649749262.8235562
pressure,429,10.0.0.13,1649749262.822805,0,10.0.0.20,1649749262.8243787
pressure,429,10.0.0.13,1649749262.822805,0,10.0.0.16,1649749262.8248267
humidity,458,10.0.0.12,1649749262.8556223,0,10.0.0.16,1649749262.8558683
weather,187,10.0.0.10,1649749262.899917,0,10.0.0.20,1649749262.900216
weather,187,10.0.0.10,1649749262.899917,0,10.0.0.16,1649749262.9004004
light,423,10.0.0.13,1649749262.923268,0,10.0.0.20,1649749262.9236283
light,423,10.0.0.13,1649749262.923268,0,10.0.0.16,1649749262.923814
humidity,138,10.0.0.12,1649749262.9559317,0,10.0.0.16,1649749262.9562118
sound,299,10.0.0.14,1649749262.998295,0,10.0.0.16,1649749262.99859
altitude,92,10.0.0.10,1649749263.0002267,0,10.0.0.16,1649749263.0004444
light,96,10.0.0.13,1649749263.02425,0,10.0.0.20,1649749263.0246024
light,96,10.0.0.13,1649749263.02425,0,10.0.0.16,1649749263.0247912
humidity,165,10.0.0.12,1649749263.056252,0,10.0.0.16,1649749263.0565243
airquality,389,10.0.0.14,1649749263.0985975,0,10.0.0.16,1649749263.0989373
pressure,157,10.0.0.10,1649749263.100513,0,10.0.0.20,1649749263.1007702
pressure,157,10.0.0.10,1649749263.100513,0,10.0.0.16,1649749263.1010804
light,159,10.0.0.13,1649749263.1246214,0,10.0.0.20,1649749263.1249156
light,159,10.0.0.13,1649749263.1246214,0,10.0.0.16,1649749263.1251147
humidity,62,10.0.0.12,1649749263.1565514,0,10.0.0.16,1649749263.156847
humidity,379,10.0.0.14,1649749263.2002048,0,10.0.0.16,1649749263.2005847
altitude,265,10.0.0.10,1649749263.200765,0,10.0.0.16,1649749263.2009077
pressure,203,10.0.0.13,1649749263.2250488,0,10.0.0.18,1649749263.2253878
pressure,203,10.0.0.13,1649749263.2250488,0,10.0.0.20,1649749263.2255523
pressure,203,10.0.0.13,1649749263.2250488,0,10.0.0.16,1649749263.225697
humidity,489,10.0.0.12,1649749263.2569282,0,10.0.0.16,1649749263.257189
weather,81,10.0.0.14,1649749263.3005095,0,10.0.0.16,1649749263.3007958
light,74,10.0.0.10,1649749263.3010423,0,10.0.0.20,1649749263.3012686
light,74,10.0.0.10,1649749263.3010423,0,10.0.0.16,1649749263.3014064
light,142,10.0.0.13,1649749263.325371,0,10.0.0.20,1649749263.3256788
light,142,10.0.0.13,1649749263.325371,0,10.0.0.16,1649749263.3258674
humidity,305,10.0.0.12,1649749263.3572495,0,10.0.0.16,1649749263.3576217
airquality,496,10.0.0.14,1649749263.4008534,0,10.0.0.16,1649749263.4012923
smell,200,10.0.0.10,1649749263.4016435,0,10.0.0.20,1649749263.4020658
smell,200,10.0.0.10,1649749263.4016435,0,10.0.0.16,1649749263.402379
light,110,10.0.0.13,1649749263.4256709,0,10.0.0.20,1649749263.4260163
light,110,10.0.0.13,1649749263.4256709,0,10.0.0.16,1649749263.4262626
humidity,108,10.0.0.12,1649749263.4577637,0,10.0.0.16,1649749263.45826
humidity,236,10.0.0.14,1649749263.5012898,0,10.0.0.16,1649749263.5019715
weather,175,10.0.0.10,1649749263.5023534,0,10.0.0.20,1649749263.5035586
weather,175,10.0.0.10,1649749263.5023534,0,10.0.0.16,1649749263.5041008
location,448,10.0.0.13,1649749263.5262067,0,10.0.0.20,1649749263.5264935
location,448,10.0.0.13,1649749263.5262067,0,10.0.0.16,1649749263.526669
